english;catalan
Guernsey;Guernsey
Guinea;Guinea
Guinea-Bissau;Guinea-Bissau
Guyana;Guyana
Haiti;Haití
Heard Island;Illa Heard
Honduras;Hondures
Hungary;Hongria
Iceland;Islàndia
India;Índia
Indonesia;Indonèsia
Iran;Iran
Iraq;Iraq
Ireland;Irlanda
Isle of Man;illa de l'home
Israel;Israel
Italy;Itàlia
Ivory Coast;Costa d'Ivori
Jamaica;Jamaica
Japan;Japó
Jersey;Jersey
Jordan;Jordània
Kazakhstan;Kazakhstan
Kenya;Kenya
Kiribati;Kiribati
Kosovo;Kosovo
Kuwait;Kuwait
Kyrgyzstan;Kirguizistan
Laos;Laos
Latvia;Letònia
Lebanon;Líban
Lesotho;Lesotho
Liberia;Libèria
Libya;Líbia
Liechtenstein;Liechtenstein
Lithuania;Lituània
Luxembourg;Luxemburg
Macedonia;Macedònia
Madagascar;Madagascar
Madeira Islands;Illes Madeira
Malawi;Malawi
Malaysia;Malàisia
Maldives;Maldives
Mali;Mali
Malta;Malta
Marshall Islands;Illes Marshall
Martinique;Martinica
Mauritania;Mauritània
Mauritius;Maurici
Mayotte;Mayotte
Mexico;Mèxic
Micronesia;Micronèsia
Moldova;Moldàvia
Monaco;Mònaco
Mongolia;Mongòlia
Montserrat;Montserrat
Morocco;Marroc
Mozambique;Moçambic
Myanmar;Myanmar
Namibia;Namíbia
Nauru;Nauru
Nepal;Nepal
Netherlands;Països Baixos
Nevis;Nevis
New Caledonia;Nova Caledònia
New Zealand;Nova Zelanda
Nicaragua;Nicaragua
Niger;Níger
Nigeria;Nigèria
Niue;Niue
Norfolk Island;Illa Norfolk
North Korea;Corea del Nord
Northern Mariana Islands;Illes Mariannes del Nord
Norway;Noruega
Oman;Oman
Pakistan;Pakistan
Palau;Palau
Palestine;Palestina
Panama;Panamà
Papua New Guinea;Papua Nova Guinea
Paraguay;Paraguai
Peru;Perú
Philippines;Filipines
Pitcairn Islands;Illes Pitcairn
Poland;Polònia
Portugal;Portugal
Puerto Rico;Puerto Rico
Qatar;Qatar
Republic of Congo;República del Congo
Reunion;Reunió
Romania;Romania
Russia;Rússia
Rwanda;Rwanda
Saba;Saba
Saint Barthelemy;Sant Bartomeu
Saint Helena;Santa Helena
Saint Kitts;Saint Kitts
Saint Lucia;Santa Llúcia
Saint Martin;Sant Martí
Saint Pierre and Miquelon;Saint Pierre i Miquelon
Saint Vincent;Sant Vicenç
Samoa;Samoa
San Marino;San Marino
Sao Tome and Principe;Sao Tomé i Príncep
Saudi Arabia;Aràbia Saudita
Senegal;Senegal
Serbia and Montenegro;Sèrbia i Montenegro
Seychelles;Seychelles
Siachen Glacier;Glacera de Siachen
Sierra Leone;Sierra Leone
Singapore;Singapur
Sint Eustatius;Sint Eustatius
Sint Maarten;Sint Maarten
Slovakia;Eslovàquia
Slovenia;Eslovènia
Solomon Islands;Illes Salomó
Somalia;Somàlia
South Africa;Sud-Àfrica
South Georgia;Geòrgia del Sud
South Korea;Corea del Sud
South Sandwich Islands;Illes Sandvitx Sud
South Sudan;Sudan del Sud
Spain;Espanya
Sri Lanka;Sri Lanka
Sudan;Sudan
Suriname;Surinam
Swaziland;Swazilàndia
Sweden;Suècia
Switzerland;Suïssa
Syria;Síria
Taiwan;Taiwan
Tajikistan;Tadjikistan
Tanzania;Tanzània
Thailand;Tailàndia
Timor-Leste;Timor-Leste
Togo;Anar
Tonga;Tonga
Trinidad and Tobago;Trinitat i Tobago
Tunisia;Tunísia
Turkey;Turquia
Turkmenistan;Turkmenistan
Turks and Caicos Islands;Illes Turks i Caicos
Uganda;Uganda
Ukraine;Ucraïna
United Arab Emirates;Emirats Àrabs Units
United Kingdom;Regne Unit
United States;Estats Units
Uruguay;Uruguai
Uzbekistan;Uzbekistan
Vanuatu;Vanuatu
Vatican;Vaticà
Venezuela;Veneçuela
Vietnam;Vietnam
Virgin Islands;Illes Verges
Wallis and Futuna;Wallis i Futuna
Western Sahara;Sàhara Occidental
Yemen;Iemen
Zambia;Zàmbia
Zimbabwe;Zimbabwe
